Guild Name;Daily Results;Latest Submission Date;Latest Rank / Step;Latest Date (Flat);Previous Ranks;Previous Rank (Clean);Latest Rank Change;Latest League;Rank Movement;All Results;Wins;Draws;Losses;Wins / Draws / Losses;Points
4 Horsemen (S386);18/06/2025;18/06/2025;76;6/18/2025 12:00am;;;;Duke;⬜ First Submission;Win;1;0;0;1 / 0 / 0;13326
7 Deadly Sins (S944);20/06/2025;20/06/2025;539;6/20/2025 12:00am;;;;Duke;⬜ First Submission;;0;0;0;0 / 0 / 0;0
42 (S646);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Anomaly (S699);01/06/2025;01/06/2025;77;6/1/2025 12:00am;;;;Duke;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Apex Predators (S623);24/06/2025;24/06/2025;49;6/24/2025 12:00am;;;;Duke;⬜ First Submission;;0;0;0;0 / 0 / 0;0
APEX THUNDER (S349);2025-06-02,2025-06-03,2025-06-04,2025-06-06,2025-06-05,2025-06-09,2025-06-11,2025-06-10,2025-06-13,2025-06-17,2025-06-17,2025-06-18,2025-06-16,2025-06-19,2025-06-20,2025-06-23,2025-06-24,2025-06-25,2025-06-26,2025-07-01,2025-07-02,2025-07-03,2025-07-04;04/07/2025;2;7/4/2025 12:00am;38,71,130,54,93,148,58,1,113,1,1,3,4,1,1,2,3,4,1;38;36;Earl;🟩 Gained;Win, Win, Win, Win, Win, Loss, Win, Loss, Win, Win, Loss, Win, Loss, Loss, Win, Win, Loss, Win, Win;13;0;6;13 / 0 / 6;17051
Arise (S944);2025-06-09,2025-06-20;20/06/2025;390;6/20/2025 12:00am;2;2;-388;Duke;🟥 Dropped;Loss, Win;1;0;1;1 / 0 / 1;13797
ART (S818);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Black Templars (S691);2025-06-18,2025-06-19,2025-06-20,2025-06-23,2025-06-24,2025-06-25,2025-06-26,2025-07-01,2025-07-02;02/07/2025;5599;7/2/2025 12:00am;10,20,35,53,20,31,118;10;-5589;Viscount;🟥 Dropped;Win, Win, Win, Loss, Win, Win, Win;6;0;1;6 / 0 / 1;17478
Brave (S1000);2025-06-23,2025-07-01,2025-07-02;02/07/2025;4;7/2/2025 12:00am;1109;1109;1105;Earl;🟩 Gained;Loss;0;0;1;0 / 0 / 1;6151
Calakmul (S462);2025-06-26,2025-06-25;26/06/2025;71;6/26/2025 12:00am;119;119;48;Duke;🟩 Gained;Win, Win;2;0;0;2 / 0 / 0;16895
EteCoffee Time (S62);20/06/2025;20/06/2025;60;6/20/2025 12:00am;;;;Duke;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Covenant Brotherhood (S781);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Deutschland (S1083);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Dominion Gods (S691);2025-06-04,2025-06-09,2025-06-20;20/06/2025;265;6/20/2025 12:00am;1,3;1;-264;Duke;🟥 Dropped;;0;0;0;0 / 0 / 0;8919
Dragon (S841);10/06/2025;10/06/2025;1;6/10/2025 12:00am;;;;Earl;⬜ First Submission;;0;0;0;0 / 0 / 0;8461
Fearless Raiders (S399);2025-06-20,2025-06-24,2025-06-25,2025-06-26;26/06/2025;853;6/26/2025 12:00am;471,686,508;471;-382;Duke;🟥 Dropped;Win, Win, Loss;2;0;1;2 / 0 / 1;15601
Force et Honneur (S815);2025-06-02,2025-06-03,2025-06-04,2025-06-06,2025-06-05,2025-06-09,2025-06-10,2025-06-11,2025-06-16,2025-06-18,2025-06-13,2025-06-19,2025-06-20,2025-06-23,2025-06-25,2025-06-26,2025-07-01,2025-07-02;02/07/2025;4;7/2/2025 12:00am;1013,1407,514,938,557,245,2,3,4,2,2,2,3,3,4,1;1013;1009;Earl;🟩 Gained;Win, Win, Win, Win, Loss, Loss, Loss, Win, Win, Win, Loss, Loss, Loss, Win, Loss, Win;9;0;7;9 / 0 / 7;15438
Fukuro (S848);24/06/2025;24/06/2025;34;6/24/2025 12:00am;;;;Duke;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Golden Eagle (S591);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
GRIM REAPERS (S871);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Guardians of Dominion (S815);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Guardians of Dream (S923);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Harbingers (S476);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Heroes Shield (S858);05/06/2025;05/06/2025;7827;6/5/2025 12:00am;;;;Earl;⬜ First Submission;Win;1;0;0;1 / 0 / 0;7827
